Model,Flare,,,,,,,,
,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note
LED 0,0,0,1,22,56,35,69,0,ESC
LED 1,1,0,0,-1,-1,-1,-1,0,
LED 2,2,0,0,-1,-1,-1,-1,0,
LED 3,3,0,1,59,56,72,69,0,F1
LED 4,4,0,1,76,56,89,69,0,F2
LED 5,5,0,1,93,56,106,69,0,F3
LED 6,6,0,1,111,56,124,69,0,F4
LED 7,7,0,0,-1,-1,-1,-1,0,
LED 8,8,0,1,140,56,153,69,0,F5
LED 9,9,0,1,158,56,171,69,0,F6
LED 10,10,0,1,176,56,189,69,0,F7
LED 11,11,0,1,194,56,207,69,0,F8
LED 12,12,0,1,221,56,234,69,0,F9
LED 13,13,0,1,239,56,252,69,0,F10
LED 14,14,0,1,258,56,271,69,0,F11
LED 15,15,0,1,276,56,289,69,0,F12
LED 16,16,0,1,299,56,312,69,0,PRINT
LED 17,17,0,1,317,56,330,69,0,SCROLL
LED 18,18,0,1,334,56,347,69,0,PAUSE
LED 19,19,0,0,-1,-1,-1,-1,0,G1
LED 20,20,0,0,-1,-1,-1,-1,0,G2
LED 21,21,0,0,-1,-1,-1,-1,0,G3
LED 22,22,0,0,-1,-1,-1,-1,0,G4
LED 23,23,0,0,-1,-1,-1,-1,0,ROG Logo
LED 24,0,1,1,22,81,35,94,0,TLIDE
LED 25,1,1,0,-1,-1,-1,-1,0,
LED 26,2,1,1,40,81,53,94,0,1
LED 27,3,1,1,58,81,71,94,0,2
LED 28,4,1,1,76,81,89,94,0,3
LED 29,5,1,1,95,81,108,94,0,4
LED 30,6,1,1,113,81,126,94,0,5
LED 31,7,1,1,131,81,144,94,0,6
LED 32,8,1,1,149,81,162,94,0,7
LED 33,9,1,1,168,81,181,94,0,8
LED 34,10,1,1,186,81,199,94,0,9
LED 35,11,1,1,203,81,216,94,0,0
LED 36,12,1,1,221,81,234,94,0,NEG
LED 37,13,1,1,239,81,252,94,0,EQUATION
LED 38,14,1,0,-1,-1,-1,-1,0,
LED 39,15,1,1,259,81,288,94,0,BACKSPACE
LED 40,16,1,1,299,82,312,95,0,INSERT
LED 41,17,1,1,317,82,330,95,0,HOME
LED 42,18,1,1,334,82,347,95,0,PGUP
LED 43,19,1,1,358,82,371,95,0,NUM_LOCK
LED 44,20,1,1,376,82,389,95,0,NUM_DIV
LED 45,21,1,1,394,82,407,95,0,NUM_STAR
LED 46,22,1,1,412,82,425,95,0,NUM_NEG
LED 47,23,1,0,-1,-1,-1,-1,0,L_LED
LED 48,0,2,1,23,99,44,112,0,TAB
LED 49,1,2,0,-1,-1,-1,-1,0,
LED 50,2,2,1,50,99,63,112,0,Q
LED 51,3,2,1,68,99,81,112,0,W
LED 52,4,2,1,86,99,99,112,0,E
LED 53,5,2,1,104,99,117,112,0,R
LED 54,6,2,1,122,99,135,112,0,T
LED 55,7,2,1,140,99,153,112,0,Y
LED 56,8,2,1,158,99,171,112,0,U
LED 57,9,2,1,176,99,189,112,0,I
LED 58,10,2,1,195,99,208,112,0,O
LED 59,11,2,1,213,99,226,112,0,P
LED 60,12,2,1,231,99,244,112,0,L_BRACKETS
LED 61,13,2,1,249,99,262,112,0,R_BRACKETS
LED 62,14,2,0,-1,-1,-1,-1,0,
LED 63,15,2,1,267,99,288,112,0,BACKSLASH
LED 64,16,2,1,299,99,312,112,0,DEL
LED 65,17,2,1,317,99,330,112,0,END
LED 66,18,2,1,334,99,347,112,0,PGDN
LED 67,19,2,1,358,99,371,112,0,NUM_7
LED 68,20,2,1,376,99,389,112,0,NUM_8
LED 69,21,2,1,394,99,407,112,0,NUM_9
LED 70,22,2,1,412,99,425,129,0,NUM_PLUS
LED 71,23,2,0,-1,-1,-1,-1,0,R_LED
LED 72,0,3,1,23,117,48,130,0,CAP
LED 73,1,3,0,-1,-1,-1,-1,0,
LED 74,2,3,1,54,117,67,130,0,A
LED 75,3,3,1,73,117,86,130,0,S
LED 76,4,3,1,90,117,103,130,0,D
LED 77,5,3,1,108,117,121,130,0,F
LED 78,6,3,1,127,117,140,130,0,G
LED 79,7,3,1,145,117,158,130,0,H
LED 80,8,3,1,163,117,176,130,0,J
LED 81,9,3,1,181,117,194,130,0,K
LED 82,10,3,1,199,117,212,130,0,L
LED 83,11,3,1,217,117,230,130,0,SEMICOLON
LED 84,12,3,1,235,117,248,130,0,APOSTROPHE
LED 85,13,3,0,-1,-1,-1,-1,0,CODE42(EU)
LED 86,14,3,1,-1,-1,-1,-1,0,
LED 87,15,3,1,254,117,288,130,0,ENTER
LED 88,16,3,1,-1,-1,-1,-1,0,
LED 89,17,3,1,-1,-1,-1,-1,0,
LED 90,18,3,1,-1,-1,-1,-1,0,
LED 91,19,3,1,358,116,371,129,0,NUM_4
LED 92,20,3,1,376,116,389,129,0,NUM_5
LED 93,21,3,1,394,116,407,129,0,NUM_6
LED 94,22,3,0,-1,-1,-1,-1,0,
LED 95,23,3,0,-1,-1,-1,-1,0,
LED 96,0,4,1,23,135,57,148,0,L_SHIFT
LED 97,1,4,0,-1,-1,-1,-1,0,CODE45(EU)
LED 98,2,4,1,63,135,76,148,0,Z
LED 99,3,4,1,81,135,94,148,0,X
LED 100,4,4,1,99,135,112,148,0,C
LED 101,5,4,1,118,135,131,148,0,V
LED 102,6,4,1,136,135,149,148,0,B
LED 103,7,4,1,154,135,167,148,0,N
LED 104,8,4,1,172,135,185,148,0,M
LED 105,9,4,1,190,135,203,148,0,COMMA
LED 106,10,4,1,208,135,221,148,0,DOT
LED 107,11,4,1,226,135,239,148,0,SLASH
LED 108,12,4,0,-1,-1,-1,-1,0,
LED 109,13,4,0,-1,-1,-1,-1,0,
LED 110,14,4,0,-1,-1,-1,-1,0,
LED 111,15,4,1,245,135,288,148,0,R_SHIFT
LED 112,16,4,0,-1,-1,-1,-1,0,
LED 113,17,4,1,317,134,330,147,0,UP_ARROW
LED 114,18,4,0,-1,-1,-1,-1,0,
LED 115,19,4,1,358,134,371,147,0,NUM_1
LED 116,20,4,1,376,134,389,147,0,NUM_2
LED 117,21,4,1,394,134,407,147,0,NUM_3
LED 118,22,4,1,412,134,425,164,0,NUM_ENTER
LED 119,23,4,0,-1,-1,-1,-1,0,
LED 120,0,5,1,23,153,40,166,0,L_CTRL
LED 121,1,5,1,46,153,63,166,0,L_WIN
LED 122,2,5,1,68,153,85,166,0,L_ALT
LED 123,3,5,0,-1,-1,-1,-1,0,
LED 124,4,5,0,-1,-1,-1,-1,0,
LED 125,5,5,0,-1,-1,-1,-1,0,
LED 126,6,5,1,91,153,198,166,0,SPACE
LED 127,7,5,0,-1,-1,-1,-1,0,
LED 128,8,5,0,-1,-1,-1,-1,0,
LED 129,9,5,1,204,153,221,166,0,R_ALT
LED 130,10,5,0,-1,-1,-1,-1,0,
LED 131,11,5,1,226,153,243,166,0,FN
LED 132,12,5,1,249,153,266,166,0,APP
LED 133,13,5,0,-1,-1,-1,-1,0,
LED 134,14,5,0,-1,-1,-1,-1,0,
LED 135,15,5,1,272,153,289,166,0,R_CTRL
LED 136,16,5,1,299,153,312,166,0,L_ARROW
LED 137,17,5,1,317,153,330,166,0,DN_ARROW
LED 138,18,5,1,335,153,348,166,0,R_ARROW
LED 139,19,5,1,359,151,389,164,0,NUM_0
LED 140,20,5,0,-1,-1,-1,-1,0,
LED 141,21,5,1,394,151,407,164,0,NUM_DOT
LED 142,22,5,0,-1,-1,-1,-1,0,
LED 143,23,5,0,-1,-1,-1,-1,0,
