GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,1,573,124,1090,404,1,AERO_L,
LED 1,1,0,0,-1,-1,-1,-1,1,NULL,
LED 2,2,0,1,1070,1702,1194,1761,1,VOLUME_DN,
LED 3,3,0,1,1218,1702,1342,1761,1,VOLUME_UP,
LED 4,4,0,1,1366,1702,1490,1761,1,MUTE,
LED 5,5,0,1,1514,1702,1638,1761,1,SUN,
LED 6,6,0,1,1662,1702,1786,1761,1,ROG,
LED 7,7,0,0,-1,-1,-1,-1,1,NULL,
LED 8,8,0,0,-1,-1,-1,-1,1,NULL,
LED 9,9,0,0,-1,-1,-1,-1,1,NULL,
LED 10,10,0,0,-1,-1,-1,-1,1,NULL,
LED 11,11,0,0,-1,-1,-1,-1,1,NULL,
LED 12,12,0,0,-1,-1,-1,-1,1,NULL,
LED 13,13,0,0,-1,-1,-1,-1,1,NULL,
LED 14,14,0,0,-1,-1,-1,-1,1,NULL,
LED 15,15,0,0,-1,-1,-1,-1,1,NULL,
LED 16,16,0,1,-1,-1,-1,-1,1,AERO_R,
LED 17,17,0,0,-1,-1,-1,-1,1,NULL,
LED 18,18,0,0,-1,-1,-1,-1,1,NULL,
LED 19,19,0,0,-1,-1,-1,-1,1,NULL,
LED 20,20,0,0,-1,-1,-1,-1,1,NULL,
LED 21,0,1,1,772,1830,896,1897,1,Esc,
LED 22,1,1,0,-1,-1,-1,-1,1,NULL,
LED 23,2,1,1,1070,1830,1194,1897,1,F1,
LED 24,3,1,1,1218,1830,1342,1897,1,F2,
LED 25,4,1,1,1366,1830,1490,1897,1,F3,
LED 26,5,1,1,1514,1830,1638,1897,1,F4,
LED 27,6,1,0,-1,-1,-1,-1,1,NULL,
LED 28,7,1,1,1716,1830,1840,1897,1,F5,
LED 29,8,1,1,1864,1830,1988,1897,1,F6,
LED 30,9,1,1,2012,1830,2136,1897,1,F7,
LED 31,10,1,1,2160,1830,2284,1897,1,F8,
LED 32,11,1,0,2067,2557,2170,2612,1,NULL,
LED 33,12,1,1,2361,1830,2485,1897,1,F9,
LED 34,13,1,1,2509,1830,2633,1897,1,F10,
LED 35,14,1,1,2657,1830,2781,1897,1,F11,
LED 36,15,1,1,2805,1830,2929,1897,1,F12,
LED 37,16,1,1,2984,1830,3108,1897,1,Delete,
LED 38,17,1,0,2823,2557,2910,2612,1,NULL,
LED 39,18,1,0,2934,2557,3021,2612,1,NULL,
LED 40,19,1,0,3045,2557,3132,2612,1,NULL,
LED 41,20,1,0,-1,-1,-1,-1,1,NULL,
LED 42,0,2,1,772,1928,891,2047,1,~,
LED 43,1,2,1,920,1928,1039,2047,1,1,
LED 44,2,2,1,1068,1928,1187,2047,1,2,
LED 45,3,2,1,1216,1928,1335,2047,1,3,
LED 46,4,2,1,1364,1928,1483,2047,1,4,
LED 47,5,2,1,1512,1928,1631,2047,1,5,
LED 48,6,2,1,1660,1928,1779,2047,1,6,
LED 49,7,2,1,1808,1928,1927,2047,1,7,
LED 50,8,2,1,1956,1928,2075,2047,1,8,
LED 51,9,2,1,2104,1928,2223,2047,1,9,
LED 52,10,2,1,2252,1928,2371,2047,1,0,
LED 53,11,2,1,2400,1928,2519,2047,1,Minus,
LED 54,12,2,1,2548,1928,2667,2047,1,Equal,
LED 55,13,2,0,-1,-1,-1,-1,1,NULL,
LED 56,14,2,1,2696,1928,2929,2047,1,Back,
LED 57,15,2,0,-1,-1,-1,-1,1,NULL,
LED 58,16,2,1,2984,1928,3108,2047,1,HOME,
LED 59,17,2,0,-1,-1,-1,-1,1,NULL,
LED 60,18,2,0,-1,-1,-1,-1,1,NULL,
LED 61,19,2,0,-1,-1,-1,-1,1,NULL,
LED 62,20,2,0,-1,-1,-1,-1,1,NULL,
LED 63,0,3,1,772,2078,966,2197,1,Tab,
LED 64,1,3,1,997,2078,1116,2197,1,Q,
LED 65,2,3,1,1142,2078,1261,2197,1,W,
LED 66,3,3,1,1289,2078,1408,2197,1,E,
LED 67,4,3,1,1439,2078,1558,2197,1,R,
LED 68,5,3,1,1589,2078,1708,2197,1,T,
LED 69,6,3,1,1739,2078,1858,2197,1,Y,
LED 70,7,3,1,1886,2078,2005,2197,1,U,
LED 71,8,3,1,2033,2078,2152,2197,1,I,
LED 72,9,3,1,2183,2078,2302,2197,1,O,
LED 73,10,3,1,2328,2078,2447,2197,1,P,
LED 74,11,3,1,2479,2078,2598,2197,1,[,
LED 75,12,3,1,2627,2078,2746,2197,1,],
LED 76,13,3,1,2775,2078,2929,2197,1,\,
LED 77,14,3,0,-1,-1,-1,-1,1,NULL,
LED 78,15,3,0,-1,-1,-1,-1,1,NULL,
LED 79,16,3,1,2984,2074,3108,2193,1,PGUP,
LED 80,17,3,0,-1,-1,-1,-1,1,NULL,
LED 81,18,3,0,-1,-1,-1,-1,1,NULL,
LED 82,19,3,0,-1,-1,-1,-1,1,NULL,
LED 83,20,3,0,-1,-1,-1,-1,1,NULL,
LED 84,0,4,1,772,2221,1003,2340,1,Cap,
LED 85,1,4,1,1032,2221,1151,2340,1,A,
LED 86,2,4,1,1180,2221,1299,2340,1,S,
LED 87,3,4,1,1328,2221,1447,2340,1,D,
LED 88,4,4,1,1476,2221,1595,2340,1,F,
LED 89,5,4,1,1624,2221,1743,2340,1,G,
LED 90,6,4,1,1772,2221,1891,2340,1,H,
LED 91,7,4,1,1920,2221,2039,2340,1,J,
LED 92,8,4,1,2068,2221,2187,2340,1,K,
LED 93,9,4,1,2216,2221,2335,2340,1,L,
LED 94,10,4,1,2364,2221,2483,2340,1,;,
LED 95,11,4,1,2512,2221,2631,2340,1,"""",
LED 96,12,4,1,2660,2221,2929,2340,1,ENTER,
LED 97,13,4,0,-1,-1,-1,-1,1,NULL,
LED 98,14,4,0,-1,-1,-1,-1,1,NULL,
LED 99,15,4,0,-1,-1,-1,-1,1,NULL,
LED 100,16,4,1,2984,2224,3108,2343,1,PGDN,
LED 101,17,4,0,-1,-1,-1,-1,1,NULL,
LED 102,18,4,0,-1,-1,-1,-1,1,NULL,
LED 103,19,4,0,-1,-1,-1,-1,1,NULL,
LED 104,20,4,0,-1,-1,-1,-1,1,NULL,
LED 105,0,5,1,772,2368,1079,2487,1,L_Shift,
LED 106,1,5,0,1109,2368,1228,2487,1,\,
LED 107,2,5,1,1109,2368,1228,2487,1,Z,
LED 108,3,5,1,1257,2368,1376,2487,1,X,
LED 109,4,5,1,1405,2368,1524,2487,1,C,
LED 110,5,5,1,1553,2368,1672,2487,1,V,
LED 111,6,5,1,1701,2368,1820,2487,1,B,
LED 112,7,5,1,1849,2368,1968,2487,1,N,
LED 113,8,5,1,1998,2364,2117,2483,1,M,
LED 114,9,5,1,2146,2364,2265,2483,1,",",
LED 115,10,5,1,2294,2364,2413,2483,1,.,
LED 116,11,5,1,2442,2364,2561,2483,1,?,
LED 117,12,5,1,2591,2368,2929,2487,1,R_Shift,
LED 118,13,5,0,-1,-1,-1,-1,1,NULL,
LED 119,14,5,0,2591,2368,2929,2487,1,NULL,
LED 120,15,5,0,-1,-1,-1,-1,1,NULL,
LED 121,16,5,1,2984,2368,3108,2487,1,END,
LED 122,17,5,0,-1,-1,-1,-1,1,NULL,
LED 123,18,5,0,-1,-1,-1,-1,1,NULL,
LED 124,19,5,0,-1,-1,-1,-1,1,NULL,
LED 125,20,5,0,-1,-1,-1,-1,1,NULL,
LED 126,0,6,1,772,2515,931,2634,1,L_Ctrl,
LED 127,1,6,1,960,2515,1079,2634,1,L_Fn,
LED 128,2,6,1,1108,2515,1227,2634,1,Win,
LED 129,3,6,1,1257,2515,1376,2634,1,L_Alt,
LED 130,4,6,1,1404,2516,2117,2663,1,Space,space.png
LED 131,5,6,0,-1,-1,-1,-1,1,NULL,
LED 132,6,6,0,1404,2516,2117,2663,1,NULL,
LED 133,7,6,0,-1,-1,-1,-1,1,NULL,
LED 134,8,6,0,-1,-1,-1,-1,1,NULL,
LED 135,9,6,1,2146,2515,2265,2634,1,R_Alt,
LED 136,10,6,1,2294,2515,2413,2634,1,R_Fn,
LED 137,11,6,1,2442,2515,2561,2634,1,R_Ctrl,
LED 138,12,6,0,-1,-1,-1,-1,1,NULL,
LED 139,13,6,1,2712,2516,2808,2589,1,Up_Arrow,
LED 140,14,6,0,-1,-1,-1,-1,1,NULL,
LED 141,15,6,0,-1,-1,-1,-1,1,NULL,
LED 142,16,6,1,2984,2515,3108,2634,1,PRTSC,
LED 143,17,6,0,-1,-1,-1,-1,1,NULL,
LED 144,18,6,0,-1,-1,-1,-1,1,NULL,
LED 145,19,6,0,-1,-1,-1,-1,1,NULL,
LED 146,20,6,0,-1,-1,-1,-1,1,NULL,
LED 147,0,7,0,-1,-1,-1,-1,1,NULL,
LED 148,1,7,0,-1,-1,-1,-1,1,NULL,
LED 149,2,7,0,-1,-1,-1,-1,1,NULL,
LED 150,3,7,0,-1,-1,-1,-1,1,NULL,
LED 151,4,7,0,-1,-1,-1,-1,1,NULL,
LED 152,5,7,0,-1,-1,-1,-1,1,NULL,
LED 153,6,7,0,-1,-1,-1,-1,1,NULL,
LED 154,7,7,0,-1,-1,-1,-1,1,NULL,
LED 155,8,7,0,-1,-1,-1,-1,1,NULL,
LED 156,9,7,0,-1,-1,-1,-1,1,NULL,
LED 157,10,7,0,-1,-1,-1,-1,1,NULL,
LED 158,11,7,0,-1,-1,-1,-1,1,NULL,
LED 159,12,7,1,2587,2617,2683,2690,1,L_Arrow,
LED 160,13,7,1,2712,2617,2808,2690,1,Dn_Arrow,
LED 161,14,7,1,2838,2617,2934,2690,1,R_Arrow,
LED 162,15,7,0,-1,-1,-1,-1,1,NULL,
LED 163,16,7,0,-1,-1,-1,-1,1,NULL,
LED 164,17,7,0,-1,-1,-1,-1,1,NULL,
LED 165,18,7,0,-1,-1,-1,-1,1,NULL,
LED 166,19,7,0,-1,-1,-1,-1,1,NULL,
LED 167,20,7,0,-1,-1,-1,-1,1,NULL,
LED 168,1,0,0,573,124,1090,404,1,LOGO,
LED 169,16,3,1,3390,1564,3438,3304,1,LIGHTBAR_R1,
LED 170,16,6,1,3236,3324,3438,3527,1,LIGHTBAR_R2,bar_b_r.png
LED 171,14,7,1,1977,3479,3216,3527,1,LIGHTBAR_R3,
LED 172,1,6,1,665,3479,1905,3527,1,LIGHTBAR_L3,
LED 173,0,6,1,443,3324,645,3527,1,LIGHTBAR_L2,bar_b_l.png
LED 174,0,3,1,443,1564,491,3304,1,LIGHTBAR_L1,
